0:c2, c4, c5
1:c1, c2, c5
2:c1, c2, c3
3:c2, c3, c4
4:c1, c2, c5
5:c1, c3, c5
6:c1, c4, c5
7:c2, c3, c5
8:c1, c3, c5
9:c1, c2, c3
10:c3, c4, c5
11:c1, c3, c4
12:c2, c3, c4
13:c1, c2, c5
14:c1, c2, c5
15:c3, c4, c5
16:c1, c4, c5
17:c2, c4, c5
18:c3, c4, c5
19:c1, c3, c4
20:c2, c3, c4
21:c2, c4, c5
22:c1, c3, c4
23:c3, c4, c5
24:c1, c2, c6
25:c3, c4, c5
26:c1, c3, c4
27:c1, c4, c5
28:c1, c2, c5
29:c2, c3, c4
30:c1, c2, c5
31:c1, c2, c3
32:c1, c4, c5
33:c1, c3, c4
34:c1, c2, c4
35:c3, c4, c6
36:c2, c4, c5
37:c2, c3, c4
38:c1, c4, c5
39:c2, c4, c5
40:c1, c2, c3
41:c1, c3, c6
42:c1, c2, c3
43:c3, c4, c5
44:c1, c2, c3
45:c1, c2, c3
46:c1, c2, c3
47:c1, c2, c5
48:c2, c3, c4
49:c2, c4, c5
