0:c1, c2, c4
1:c1, c4, c5
2:c1, c3, c5
3:c1, c2, c3
4:c2, c4, c5
5:c1, c4, c5
6:c1, c3, c4
7:c1, c2, c5
8:c2, c3, c5
9:c1, c3, c5
10:c3, c4, c5
11:c2, c4, c5
12:c3, c4, c5
13:c3, c4, c5
14:c3, c4, c5
15:c3, c4, c5
16:c2, c3, c4
17:c1, c4, c5
18:c1, c2, c3
19:c2, c4, c5
20:c3, c4, c5
21:c1, c2, c3
22:c2, c4, c5
23:c3, c4, c5
24:c1, c2, c4
25:c1, c2, c5
26:c1, c2, c3
27:c2, c4, c5
28:c1, c3, c4
29:c1, c4, c5
30:c2, c4, c5
31:c1, c2, c4
32:c1, c2, c5
33:c3, c4, c5
34:c2, c4, c5
35:c1, c2, c3
36:c1, c2, c3
37:c3, c4, c5
38:c1, c2, c3
39:c1, c2, c3
40:c1, c2, c3
41:c1, c2, c5
42:c1, c2, c3
43:c2, c3, c5
44:c1, c2, c3
45:c1, c2, c4
46:c1, c3, c4
47:c1, c3, c4
48:c1, c3, c5
49:c2, c4, c5
