0:c2, c3, c4
1:c2, c4, c5
2:c2, c4, c6
3:c1, c3, c5
4:c1, c4, c5
5:c2, c3, c5
6:c2, c3, c4
7:c1, c2, c5
8:c2, c3, c5
9:c1, c3, c4
10:c1, c2, c3
11:c1, c2, c5
12:c1, c2, c4
13:c3, c4, c5
14:c1, c3, c4
15:c1, c3, c5
16:c3, c5, c6
17:c1, c4, c5
18:c2, c3, c5
19:c3, c4, c5
20:c1, c2, c3
21:c1, c2, c3
22:c1, c2, c4
23:c1, c2, c3
24:c1, c2, c3
25:c3, c4, c5
26:c2, c4, c6
27:c1, c2, c5
28:c4, c5, c6
29:c1, c4, c5
30:c1, c2, c3
31:c1, c2, c3
32:c1, c3, c5
33:c1, c2, c5
34:c1, c3, c5
35:c2, c4, c6
36:c1, c2, c4
37:c3, c4, c5
38:c1, c2, c5
39:c1, c2, c5
40:c3, c4, c5
41:c1, c2, c3
42:c3, c4, c5
43:c1, c2, c3
44:c1, c4, c5
45:c3, c4, c5
46:c1, c2, c5
47:c2, c4, c6
48:c3, c4, c5
49:c1, c2, c3
