0:c1, c2, c4
1:c1, c3, c5
2:c1, c3, c5
3:c1, c3, c5
4:c1, c4, c5
5:c1, c2, c3
6:c2, c4, c5
7:c1, c3, c4
8:c2, c4, c5
9:c1, c2, c4
10:c1, c2, c4
11:c1, c3, c4
12:c1, c3, c4
13:c2, c3, c5
14:c2, c4, c5
15:c2, c3, c5
16:c2, c3, c4
17:c2, c3, c5
18:c1, c3, c5
19:c1, c2, c3
20:c1, c2, c3
21:c3, c4, c5
22:c2, c3, c4
23:c1, c4, c5
24:c1, c2, c4
25:c2, c3, c4
26:c2, c4, c5
27:c1, c2, c4
28:c1, c3, c4
29:c1, c3, c5
30:c1, c2, c4
31:c2, c4, c5
32:c1, c2, c3
33:c2, c4, c5
34:c2, c3, c4
35:c2, c3, c5
36:c3, c4, c5
37:c1, c3, c5
38:c2, c4, c5
39:c1, c3, c5
40:c1, c4, c5
41:c2, c3, c5
42:c2, c4, c5
43:c1, c3, c5
44:c1, c2, c4
45:c1, c3, c5
46:c1, c2, c3
47:c2, c4, c5
48:c1, c3, c5
49:c1, c4, c5
