0:c1, c2, c3
1:c1, c2, c3
2:c2, c4, c5
3:c1, c2, c4
4:c1, c2, c3
5:c3, c4, c5
6:c1, c2, c4
7:c2, c4, c5
8:c3, c4, c5
9:c1, c2, c3
10:c2, c4, c5
11:c1, c2, c3
12:c1, c3, c4
13:c1, c2, c3
14:c2, c4, c5
15:c3, c4, c5
16:c3, c4, c5
17:c1, c2, c3
18:c1, c2, c3
19:c1, c4, c5
20:c2, c4, c5
21:c1, c3, c5
22:c2, c4, c5
23:c1, c3, c5
24:c1, c2, c4
25:c1, c3, c5
26:c1, c2, c3
27:c1, c4, c5
28:c1, c3, c5
29:c2, c4, c5
30:c2, c4, c5
31:c3, c4, c5
32:c1, c3, c4
33:c1, c3, c4
34:c2, c4, c5
35:c1, c4, c5
36:c2, c4, c5
37:c2, c4, c5
38:c2, c4, c5
39:c3, c4, c5
40:c1, c2, c3
41:c1, c2, c3
42:c1, c2, c3
43:c4, c5, c6
44:c1, c3, c5
45:c1, c3, c5
46:c1, c2, c3
47:c1, c2, c3
48:c1, c3, c5
49:c2, c4, c5
