0:c4, c5, c6
1:c2, c3, c5
2:c2, c3, c5
3:c1, c3, c4
4:c1, c2, c3
5:c2, c4, c5
6:c2, c3, c5
7:c2, c3, c5
8:c2, c4, c5
9:c2, c3, c4
10:c2, c4, c5
11:c1, c3, c6
12:c2, c3, c4
13:c1, c2, c3
14:c1, c2, c5
15:c1, c2, c3
16:c2, c3, c5
17:c1, c3, c5
18:c1, c4, c5
19:c1, c2, c5
20:c1, c4, c5
21:c1, c2, c4
22:c1, c3, c4
23:c3, c4, c5
24:c1, c3, c5
25:c1, c2, c3
26:c1, c2, c4
27:c2, c3, c5
28:c2, c3, c5
29:c4, c5, c6
30:c1, c4, c5
31:c1, c3, c5
32:c1, c2, c3
33:c1, c4, c5
34:c2, c4, c5
35:c1, c2, c4
36:c1, c3, c4
37:c1, c4, c5
38:c3, c4, c5
39:c3, c4, c5
40:c1, c4, c5
41:c3, c4, c5
42:c2, c3, c5
43:c1, c2, c3
44:c1, c2, c4
45:c1, c2, c4
46:c1, c3, c4
47:c1, c2, c4
48:c1, c2, c4
49:c1, c2, c4
