0:c2, c3, c5
1:c1, c2, c3
2:c1, c5, c6
3:c1, c4, c5
4:c2, c3, c4
5:c1, c2, c3
6:c2, c3, c5
7:c1, c2, c5
8:c1, c3, c4
9:c1, c2, c4
10:c1, c2, c4
11:c2, c4, c6
12:c1, c3, c5
13:c1, c5, c6
14:c1, c2, c4
15:c1, c2, c4
16:c2, c3, c5
17:c1, c2, c4
18:c1, c3, c5
19:c3, c4, c5
20:c2, c3, c4
21:c3, c4, c5
22:c1, c3, c4
23:c2, c3, c5
24:c1, c2, c3
25:c4, c5, c6
26:c3, c4, c5
27:c1, c2, c3
28:c1, c4, c6
29:c1, c4, c5
30:c2, c3, c5
31:c3, c4, c5
32:c1, c3, c5
33:c1, c2, c4
34:c1, c2, c4
35:c1, c2, c3
36:c1, c3, c4
37:c1, c2, c4
38:c1, c2, c4
39:c2, c3, c5
40:c2, c3, c5
41:c2, c3, c5
42:c2, c3, c5
43:c1, c2, c4
44:c2, c3, c5
45:c1, c2, c5
46:c4, c5, c6
47:c4, c5, c6
48:c3, c4, c5
49:c1, c3, c4
