0:c1, c3, c5
1:c4, c5, c6
2:c1, c3, c5
3:c1, c3, c5
4:c1, c2, c4
5:c2, c4, c5
6:c1, c2, c4
7:c1, c3, c4
8:c2, c4, c5
9:c2, c4, c6
10:c1, c2, c3
11:c1, c3, c5
12:c2, c3, c4
13:c2, c4, c5
14:c4, c5, c6
15:c1, c2, c4
16:c4, c5, c6
17:c2, c3, c5
18:c2, c3, c4
19:c2, c4, c5
20:c1, c3, c5
21:c4, c5, c6
22:c1, c2, c3
23:c1, c2, c3
24:c1, c4, c5
25:c1, c3, c4
26:c2, c4, c5
27:c1, c3, c4
28:c2, c3, c5
29:c1, c2, c4
30:c1, c3, c5
31:c1, c2, c3
32:c1, c2, c4
33:c2, c4, c5
34:c1, c3, c5
35:c1, c2, c3
36:c2, c4, c5
37:c2, c5, c6
38:c1, c3, c5
39:c2, c3, c4
40:c2, c4, c5
41:c1, c4, c5
42:c1, c2, c3
43:c2, c3, c5
44:c1, c2, c3
45:c1, c2, c3
46:c1, c2, c3
47:c1, c3, c5
48:c1, c4, c5
49:c1, c4, c5
