0:c1, c5, c6
1:c1, c2, c3
2:c1, c3, c4
3:c1, c3, c5
4:c2, c4, c5
5:c1, c3, c5
6:c1, c4, c5
7:c2, c3, c4
8:c3, c4, c5
9:c1, c3, c4
10:c1, c2, c4
11:c2, c4, c5
12:c2, c3, c5
13:c4, c5, c6
14:c3, c4, c5
15:c1, c2, c5
16:c1, c4, c5
17:c3, c4, c5
18:c1, c3, c6
19:c1, c2, c4
20:c1, c2, c5
21:c3, c4, c5
22:c1, c3, c4
23:c2, c3, c4
24:c1, c2, c3
25:c1, c2, c5
26:c2, c3, c5
27:c2, c4, c5
28:c1, c2, c3
29:c1, c3, c4
30:c1, c2, c3
31:c2, c4, c5
32:c1, c5, c6
33:c2, c3, c4
34:c1, c2, c4
35:c1, c2, c4
36:c1, c3, c4
37:c1, c2, c5
38:c1, c5, c6
39:c2, c3, c4
40:c1, c2, c3
41:c1, c2, c3
42:c2, c3, c4
43:c1, c4, c5
44:c1, c3, c4
45:c1, c2, c3
46:c2, c3, c5
47:c2, c4, c5
48:c2, c3, c4
49:c2, c3, c5
