0:c1, c2, c4
1:c2, c4, c5
2:c2, c3, c4
3:c3, c4, c5
4:c1, c4, c5
5:c1, c2, c4
6:c1, c3, c4
7:c1, c2, c4
8:c2, c3, c4
9:c4, c5, c6
10:c1, c3, c5
11:c1, c2, c3
12:c2, c4, c5
13:c1, c3, c4
14:c2, c3, c4
15:c1, c2, c3
16:c1, c3, c5
17:c1, c2, c3
18:c2, c4, c5
19:c1, c3, c4
20:c2, c4, c5
21:c1, c2, c3
22:c2, c4, c5
23:c1, c3, c5
24:c1, c3, c4
25:c1, c3, c5
26:c1, c4, c5
27:c2, c3, c5
28:c1, c2, c5
29:c2, c4, c5
30:c1, c3, c5
31:c2, c3, c5
32:c4, c5, c6
33:c1, c2, c4
34:c1, c3, c5
35:c1, c3, c5
36:c2, c3, c5
37:c1, c2, c4
38:c1, c4, c5
39:c1, c2, c3
40:c2, c3, c4
41:c1, c2, c5
42:c1, c3, c4
43:c1, c3, c5
44:c2, c3, c4
45:c1, c2, c4
46:c2, c3, c5
47:c4, c5, c6
48:c2, c3, c6
49:c2, c4, c5
