exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
1,459,0,0,0,9.31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,484,0,0,0,7.13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3,494,0,0,0,5.92,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
4,504,0,0,0,4.54,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5,514,0,0,0,2.99,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6,524,0,0,0,1.28,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
7,531,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
8,1041,0,0,0,13.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9,1096,0,0,0,13.74,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10,1161,0,0,0,11.77,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11,1160,0,0,0,12.14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
12,1172,0,0,0,12.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
13,1182,0,0,0,11.93,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
14,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
15,0,459,0,0,0,9.31,0,0,1,0,0,1,0,0,0,0,0,0,1,0
16,0,484,0,0,0,7.13,0,0,1,0,0,0,1,0,0,0,0,0,1,0
17,0,494,0,0,0,5.92,0,0,1,0,0,0,0,1,0,0,0,0,1,0
18,0,504,0,0,0,4.54,0,0,1,0,0,0,0,0,1,0,0,0,1,0
19,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,0,1,0,0,1,0
20,0,524,0,0,0,1.28,0,0,1,0,0,0,0,0,0,0,1,0,1,0
21,0,531,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
22,0,1044,0,0,0,10.98,0,0,1,0,0,1,0,0,0,0,0,0,0,1
23,0,1093,0,0,0,10.91,0,0,1,0,0,0,1,0,0,0,0,0,0,1
24,0,1133,0,0,0,10.93,0,0,1,0,0,0,0,1,0,0,0,0,0,1
25,0,1151,0,0,0,11.18,0,0,1,0,0,0,0,0,1,0,0,0,0,1
26,0,1167,0,0,0,11.59,0,0,1,0,0,0,0,0,0,1,0,0,0,1
27,0,1170,0,0,0,11.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1
28,0,1191,0,0,0,12.23,0,0,1,0,0,0,0,0,0,0,0,1,0,1
29,0,0,459,0,0,0,9.31,0,1,0,0,1,0,0,0,0,0,0,1,0
30,0,0,484,0,0,0,7.13,0,1,0,0,0,1,0,0,0,0,0,1,0
31,0,0,494,0,0,0,5.92,0,1,0,0,0,0,1,0,0,0,0,1,0
32,0,0,504,0,0,0,4.54,0,1,0,0,0,0,0,1,0,0,0,1,0
33,0,0,514,0,0,0,2.99,0,1,0,0,0,0,0,0,1,0,0,1,0
34,0,0,524,0,0,0,1.28,0,1,0,0,0,0,0,0,0,1,0,1,0
35,0,0,531,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0
36,0,0,1053,0,0,0,13.86,0,1,0,0,1,0,0,0,0,0,0,0,1
37,0,0,1108,0,0,0,13.97,0,1,0,0,0,1,0,0,0,0,0,0,1
38,0,0,1162,0,0,0,11.54,0,1,0,0,0,0,1,0,0,0,0,0,1
39,0,0,1164,0,0,0,12.04,0,1,0,0,0,0,0,1,0,0,0,0,1
40,0,0,1172,0,0,0,12.41,0,1,0,0,0,0,0,0,1,0,0,0,1
41,0,0,1182,0,0,0,11.93,0,1,0,0,0,0,0,0,0,1,0,0,1
42,0,0,1191,0,0,0,12.23,0,1,0,0,0,0,0,0,0,0,1,0,1
43,0,0,0,459,0,0,0,9.31,1,0,0,1,0,0,0,0,0,0,1,0
44,0,0,0,484,0,0,0,7.13,1,0,0,0,1,0,0,0,0,0,1,0
45,0,0,0,494,0,0,0,5.92,1,0,0,0,0,1,0,0,0,0,1,0
46,0,0,0,504,0,0,0,4.54,1,0,0,0,0,0,1,0,0,0,1,0
47,0,0,0,514,0,0,0,2.99,1,0,0,0,0,0,0,1,0,0,1,0
48,0,0,0,524,0,0,0,1.28,1,0,0,0,0,0,0,0,1,0,1,0
49,0,0,0,531,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0
50,0,0,0,1040,0,0,0,10.6,1,0,0,1,0,0,0,0,0,0,0,1
51,0,0,0,1096,0,0,0,11.32,1,0,0,0,1,0,0,0,0,0,0,1
52,0,0,0,1151,0,0,0,11.62,1,0,0,0,0,1,0,0,0,0,0,1
53,0,0,0,1171,0,0,0,12.01,1,0,0,0,0,0,1,0,0,0,0,1
54,0,0,0,1176,0,0,0,11.91,1,0,0,0,0,0,0,1,0,0,0,1
55,0,0,0,1183,0,0,0,11.9,1,0,0,0,0,0,0,0,1,0,0,1
56,0,0,0,1191,0,0,0,12.23,1,0,0,0,0,0,0,0,0,1,0,1
57,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
58,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
59,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
60,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
61,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
62,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
63,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
64,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
65,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
