exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,utility_YS_rnd,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,gini_YS_rnd,base_0,base_DSA_RC,input_original,input_third,input_rnd,cl_60,cl_90,friendship_w_0,friendship_w_1
1,459,0,0,0,0,9.31,0,0,0,0,1,0,1,0,0,1,0,1,0
2,531,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,1,0
3,1041,0,0,0,0,13.88,0,0,0,0,1,0,1,0,0,1,0,0,1
4,1191,0,0,0,0,12.23,0,0,0,0,1,0,1,0,0,0,1,0,1
5,0,459,0,0,0,0,9.31,0,0,0,1,0,1,0,0,1,0,1,0
6,0,531,0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1,1,0
7,0,1044,0,0,0,0,10.98,0,0,0,1,0,1,0,0,1,0,0,1
8,0,1191,0,0,0,0,12.23,0,0,0,1,0,1,0,0,0,1,0,1
9,0,0,459,0,0,0,0,9.31,0,0,1,0,1,0,0,1,0,1,0
10,0,0,531,0,0,0,0,0.0,0,0,1,0,1,0,0,0,1,1,0
11,0,0,1053,0,0,0,0,13.86,0,0,1,0,1,0,0,1,0,0,1
12,0,0,1191,0,0,0,0,12.23,0,0,1,0,1,0,0,0,1,0,1
13,0,0,0,459,0,0,0,0,9.31,0,1,0,1,0,0,1,0,1,0
14,0,0,0,531,0,0,0,0,0.0,0,1,0,1,0,0,0,1,1,0
15,0,0,0,1040,0,0,0,0,10.6,0,1,0,1,0,0,1,0,0,1
16,0,0,0,1191,0,0,0,0,12.23,0,1,0,1,0,0,0,1,0,1
17,0,0,0,0,459,0,0,0,0,10.98,1,0,1,0,0,1,0,1,0
18,0,0,0,0,531,0,0,0,0,0.0,1,0,1,0,0,0,1,1,0
19,0,0,0,0,1047,0,0,0,0,15.26,1,0,1,0,0,1,0,0,1
20,0,0,0,0,1191,0,0,0,0,12.23,1,0,1,0,0,0,1,0,1
21,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
22,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
23,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
24,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
25,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
26,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
27,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
28,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
29,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
30,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
31,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
32,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
33,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
34,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
35,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
36,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
37,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
38,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
39,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
40,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
41,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
42,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
43,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
44,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
45,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
46,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
47,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
48,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
49,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
50,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
51,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
52,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
53,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
54,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
55,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
56,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
57,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
58,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
59,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
60,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
61,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
62,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
63,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
64,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
65,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
66,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
67,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
68,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
69,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
70,459,0,0,0,0,9.31,0,0,0,0,0,1,1,0,0,1,0,1,0
71,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
72,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
73,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
74,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
75,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
76,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
77,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
78,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
79,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
80,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
81,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
82,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
83,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
84,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
85,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
86,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
87,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
88,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
89,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
90,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
91,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
92,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
93,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
94,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
95,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
96,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
97,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
98,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
99,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
100,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
101,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
102,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
103,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
104,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
105,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
106,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
107,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
108,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
109,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
110,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
111,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
112,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
113,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
114,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
115,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
116,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
117,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
118,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
119,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
120,531,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0
121,1045,0,0,0,0,13.62,0,0,0,0,0,1,1,0,0,1,0,0,1
122,1039,0,0,0,0,13.94,0,0,0,0,0,1,1,0,0,1,0,0,1
123,1045,0,0,0,0,13.89,0,0,0,0,0,1,1,0,0,1,0,0,1
124,1049,0,0,0,0,13.66,0,0,0,0,0,1,1,0,0,1,0,0,1
125,1046,0,0,0,0,13.75,0,0,0,0,0,1,1,0,0,1,0,0,1
126,1060,0,0,0,0,13.31,0,0,0,0,0,1,1,0,0,1,0,0,1
127,1046,0,0,0,0,13.83,0,0,0,0,0,1,1,0,0,1,0,0,1
128,1043,0,0,0,0,13.87,0,0,0,0,0,1,1,0,0,1,0,0,1
129,1046,0,0,0,0,13.69,0,0,0,0,0,1,1,0,0,1,0,0,1
130,1054,0,0,0,0,13.54,0,0,0,0,0,1,1,0,0,1,0,0,1
131,1051,0,0,0,0,13.7,0,0,0,0,0,1,1,0,0,1,0,0,1
132,1044,0,0,0,0,13.87,0,0,0,0,0,1,1,0,0,1,0,0,1
133,1039,0,0,0,0,13.74,0,0,0,0,0,1,1,0,0,1,0,0,1
134,1046,0,0,0,0,13.82,0,0,0,0,0,1,1,0,0,1,0,0,1
135,1048,0,0,0,0,13.54,0,0,0,0,0,1,1,0,0,1,0,0,1
136,1036,0,0,0,0,13.67,0,0,0,0,0,1,1,0,0,1,0,0,1
137,1045,0,0,0,0,14.01,0,0,0,0,0,1,1,0,0,1,0,0,1
138,1043,0,0,0,0,13.79,0,0,0,0,0,1,1,0,0,1,0,0,1
139,1047,0,0,0,0,13.45,0,0,0,0,0,1,1,0,0,1,0,0,1
140,1048,0,0,0,0,13.52,0,0,0,0,0,1,1,0,0,1,0,0,1
141,1040,0,0,0,0,13.76,0,0,0,0,0,1,1,0,0,1,0,0,1
142,1052,0,0,0,0,13.42,0,0,0,0,0,1,1,0,0,1,0,0,1
143,1047,0,0,0,0,14.01,0,0,0,0,0,1,1,0,0,1,0,0,1
144,1042,0,0,0,0,14.08,0,0,0,0,0,1,1,0,0,1,0,0,1
145,1042,0,0,0,0,13.7,0,0,0,0,0,1,1,0,0,1,0,0,1
146,1052,0,0,0,0,13.62,0,0,0,0,0,1,1,0,0,1,0,0,1
147,1045,0,0,0,0,13.84,0,0,0,0,0,1,1,0,0,1,0,0,1
148,1047,0,0,0,0,13.82,0,0,0,0,0,1,1,0,0,1,0,0,1
149,1045,0,0,0,0,13.82,0,0,0,0,0,1,1,0,0,1,0,0,1
150,1042,0,0,0,0,13.66,0,0,0,0,0,1,1,0,0,1,0,0,1
151,1037,0,0,0,0,14.03,0,0,0,0,0,1,1,0,0,1,0,0,1
152,1042,0,0,0,0,13.95,0,0,0,0,0,1,1,0,0,1,0,0,1
153,1061,0,0,0,0,13.21,0,0,0,0,0,1,1,0,0,1,0,0,1
154,1055,0,0,0,0,14.1,0,0,0,0,0,1,1,0,0,1,0,0,1
155,1049,0,0,0,0,13.5,0,0,0,0,0,1,1,0,0,1,0,0,1
156,1038,0,0,0,0,13.97,0,0,0,0,0,1,1,0,0,1,0,0,1
157,1048,0,0,0,0,13.93,0,0,0,0,0,1,1,0,0,1,0,0,1
158,1054,0,0,0,0,13.59,0,0,0,0,0,1,1,0,0,1,0,0,1
159,1048,0,0,0,0,13.63,0,0,0,0,0,1,1,0,0,1,0,0,1
160,1045,0,0,0,0,13.94,0,0,0,0,0,1,1,0,0,1,0,0,1
161,1055,0,0,0,0,13.83,0,0,0,0,0,1,1,0,0,1,0,0,1
162,1041,0,0,0,0,14.05,0,0,0,0,0,1,1,0,0,1,0,0,1
163,1048,0,0,0,0,13.56,0,0,0,0,0,1,1,0,0,1,0,0,1
164,1045,0,0,0,0,13.6,0,0,0,0,0,1,1,0,0,1,0,0,1
165,1045,0,0,0,0,13.75,0,0,0,0,0,1,1,0,0,1,0,0,1
166,1042,0,0,0,0,14.04,0,0,0,0,0,1,1,0,0,1,0,0,1
167,1047,0,0,0,0,13.83,0,0,0,0,0,1,1,0,0,1,0,0,1
168,1036,0,0,0,0,14.07,0,0,0,0,0,1,1,0,0,1,0,0,1
169,1048,0,0,0,0,13.87,0,0,0,0,0,1,1,0,0,1,0,0,1
170,1043,0,0,0,0,13.87,0,0,0,0,0,1,1,0,0,1,0,0,1
171,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
172,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
173,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
174,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
175,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
176,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
177,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
178,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
179,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
180,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
181,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
182,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
183,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
184,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
185,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
186,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
187,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
188,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
189,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
190,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
191,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
192,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
193,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
194,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
195,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
196,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
197,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
198,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
199,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
200,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
201,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
202,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
203,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
204,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
205,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
206,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
207,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
208,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
209,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
210,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
211,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
212,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
213,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
214,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
215,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
216,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
217,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
218,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
219,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
220,1191,0,0,0,0,12.23,0,0,0,0,0,1,1,0,0,0,1,0,1
221,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
222,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
223,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
224,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
225,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
226,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
227,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
228,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
229,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
230,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
231,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
232,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
233,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
234,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
235,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
236,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
237,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
238,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
239,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
240,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
241,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
242,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
243,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
244,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
245,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
246,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
247,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
248,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
249,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
250,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
251,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
252,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
253,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
254,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
255,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
256,0,459,0,0,0,0,9.31,0,0,0,0,1,1,0,0,1,0,1,0
