exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
1,459,0,0,0,9.31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,original
2,484,0,0,0,7.13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,original
3,494,0,0,0,5.92,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,original
4,504,0,0,0,4.54,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,original
5,514,0,0,0,2.99,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,original
6,524,0,0,0,1.28,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,original
7,531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,original
8,2051,0,0,0,2.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,original
9,2077,0,0,0,1.66,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,original
10,2087,0,0,0,1.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,original
11,2097,0,0,0,1.09,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,original
12,2107,0,0,0,0.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,original
13,2117,0,0,0,0.32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,original
14,2124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,original
15,0,459,0,0,0,9.31,0,0,1,0,0,1,0,0,0,0,0,0,1,0,order
16,0,484,0,0,0,7.13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,order
17,0,494,0,0,0,5.92,0,0,1,0,0,0,0,1,0,0,0,0,1,0,order
18,0,504,0,0,0,4.54,0,0,1,0,0,0,0,0,1,0,0,0,1,0,order
19,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,0,1,0,0,1,0,order
20,0,524,0,0,0,1.28,0,0,1,0,0,0,0,0,0,0,1,0,1,0,order
21,0,531,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,order
22,0,2052,0,0,0,2.08,0,0,1,0,0,1,0,0,0,0,0,0,0,1,order
23,0,2077,0,0,0,1.66,0,0,1,0,0,0,1,0,0,0,0,0,0,1,order
24,0,2087,0,0,0,1.4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,order
25,0,2097,0,0,0,1.09,0,0,1,0,0,0,0,0,1,0,0,0,0,1,order
26,0,2107,0,0,0,0.73,0,0,1,0,0,0,0,0,0,1,0,0,0,1,order
27,0,2117,0,0,0,0.32,0,0,1,0,0,0,0,0,0,0,1,0,0,1,order
28,0,2124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,order
29,0,0,459,0,0,0,9.31,0,1,0,0,1,0,0,0,0,0,0,1,0,course
30,0,0,484,0,0,0,7.13,0,1,0,0,0,1,0,0,0,0,0,1,0,course
31,0,0,494,0,0,0,5.92,0,1,0,0,0,0,1,0,0,0,0,1,0,course
32,0,0,504,0,0,0,4.54,0,1,0,0,0,0,0,1,0,0,0,1,0,course
33,0,0,514,0,0,0,2.99,0,1,0,0,0,0,0,0,1,0,0,1,0,course
34,0,0,524,0,0,0,1.28,0,1,0,0,0,0,0,0,0,1,0,1,0,course
35,0,0,531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,course
36,0,0,2051,0,0,0,2.13,0,1,0,0,1,0,0,0,0,0,0,0,1,course
37,0,0,2077,0,0,0,1.66,0,1,0,0,0,1,0,0,0,0,0,0,1,course
38,0,0,2087,0,0,0,1.4,0,1,0,0,0,0,1,0,0,0,0,0,1,course
39,0,0,2097,0,0,0,1.09,0,1,0,0,0,0,0,1,0,0,0,0,1,course
40,0,0,2107,0,0,0,0.73,0,1,0,0,0,0,0,0,1,0,0,0,1,course
41,0,0,2117,0,0,0,0.32,0,1,0,0,0,0,0,0,0,1,0,0,1,course
42,0,0,2124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,course
