exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
1,183,0,0,0,39.84,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2,174,0,0,0,41.82,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
3,171,0,0,0,36.16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4,182,0,0,0,38.75,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5,196,0,0,0,33.01,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
6,180,0,0,0,37.28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
7,182,0,0,0,41.33,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
8,197,0,0,0,35.45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
9,178,0,0,0,33.66,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
10,171,0,0,0,35.95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
11,162,0,0,0,39.72,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
12,184,0,0,0,36.67,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
13,187,0,0,0,37.37,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
14,180,0,0,0,36.98,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
15,164,0,0,0,41.68,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
16,173,0,0,0,36.64,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
17,203,0,0,0,33.53,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
18,190,0,0,0,36.15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
19,166,0,0,0,38.53,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
20,188,0,0,0,32.61,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
21,183,0,0,0,33.78,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
22,175,0,0,0,39.46,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
23,192,0,0,0,31.57,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,184,0,0,0,40.66,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
25,184,0,0,0,32.53,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
26,188,0,0,0,38.48,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
27,198,0,0,0,34.18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
28,175,0,0,0,39.61,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
29,188,0,0,0,33.82,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
30,185,0,0,0,34.48,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
31,180,0,0,0,34.95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
32,173,0,0,0,35.58,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
33,200,0,0,0,33.68,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
34,175,0,0,0,35.62,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
35,171,0,0,0,39.13,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
36,161,0,0,0,40.45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
37,167,0,0,0,38.44,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
38,176,0,0,0,39.46,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
39,187,0,0,0,36.59,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
40,191,0,0,0,38.05,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
41,172,0,0,0,36.97,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
42,183,0,0,0,37.97,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
43,186,0,0,0,32.77,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
44,178,0,0,0,39.34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
45,181,0,0,0,36.14,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
46,175,0,0,0,39.96,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
47,171,0,0,0,40.55,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
48,186,0,0,0,33.84,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
49,164,0,0,0,37.56,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
50,192,0,0,0,35.23,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
51,195,0,0,0,36.35,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
